CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Hyades","Gaia DR2 47813500084423296","47813500084423296","210744818","EPIC",64.35531346502000,19.02977997098000,1.48050,10.3486,730.000,0.00000,20.8956,47.8570,3.39973,1.48050,6.94887,0.00000,0.00000,12.8433,0.00000,"Douglas et al. (2019)",4319.17,0.692557,1
"Hyades","Gaia DR2 3312564037520033792","3312564037520033792","246777832","EPIC",67.96910450542001,15.49937684978000,1.57920,10.4983,730.000,0.00000,21.8367,45.7945,3.30406,1.57920,7.19423,0.00000,0.00000,12.8985,0.00000,"Douglas et al. (2019)",4191.78,0.661810,1
"Hyades","Gaia DR2 45968901826385024","45968901826385024","-9999","EPIC",62.04687348888000,16.87296135884000,1.80650,10.8189,730.000,0.00000,24.9168,40.1336,3.01754,1.80650,7.80136,0.00000,0.00000,13.6300,0.00000,"Douglas et al. (2019)",3958.43,0.610653,1
"Hyades","Gaia DR2 3308127405023027328","3308127405023027328","-9999","EPIC",70.37408254573999,13.22112674733000,1.90370,10.4887,730.000,0.00000,22.6466,44.1567,3.22499,1.90370,7.26371,0.00000,0.00000,15.4200,0.00000,"Douglas et al. (2019)",3876.96,0.595092,0
"Hyades","Gaia DR2 3241952369992171904","3241952369992171904","-9999","EPIC",77.83085387035000,7.908911059700000,1.48120,10.7626,730.000,0.00000,17.4560,57.2869,3.79028,1.48120,6.97232,0.00000,0.00000,13.2300,0.00000,"Douglas et al. (2019)",4318.20,0.692322,1
"Hyades","Gaia DR2 3304337251002413952","3304337251002413952","-9999","EPIC",62.11164014011000,12.19179914082000,1.65060,10.7026,730.000,0.00000,21.5318,46.4429,3.33460,1.65060,7.36800,0.00000,0.00000,12.9600,0.00000,"Douglas et al. (2019)",4110.49,0.642189,1
"Hyades","Gaia DR2 3306304002426877440","3306304002426877440","-9999","EPIC",68.54686428685000,11.55785881450000,1.83890,11.0486,730.000,0.00000,20.9046,47.8364,3.39879,1.83890,7.64981,0.00000,0.00000,11.5921,0.00000,"Douglas et al. (2019)",3930.34,0.605303,0
"Hyades","Gaia DR2 50298125783225088","50298125783225088","210771915","EPIC",61.35751774012000,19.44201115852000,1.67070,10.8339,730.000,0.00000,21.1435,47.2959,3.37412,1.67070,7.45978,0.00000,0.00000,13.8499,0.00000,"Douglas et al. (2019)",4089.06,0.637028,1
"Hyades","Gaia DR2 3311492803955469696","3311492803955469696","-9999","EPIC",63.79387786396000,14.39837640360000,1.71590,10.9300,730.000,0.00000,20.8276,48.0132,3.40680,1.71590,7.52320,0.00000,0.00000,13.9100,0.00000,"Douglas et al. (2019)",4042.99,0.626749,1
"Hyades","Gaia DR2 3406089252492594816","3406089252492594816","246931087","EPIC",72.00405801258999,17.05586320787000,1.88550,10.4049,730.000,0.00000,22.6507,44.1487,3.22459,1.88550,7.18031,0.00000,0.00000,10.8100,0.00000,"Douglas et al. (2019)",3891.61,0.597944,0
"Hyades","Gaia DR2 3404798597640071296","3404798597640071296","246732310","EPIC",72.76052818367000,14.97119789173000,1.88090,10.9818,730.000,0.00000,24.5131,40.7945,3.05301,1.88090,7.92879,0.00000,0.00000,12.8985,0.00000,"Douglas et al. (2019)",3895.35,0.598648,0
"Hyades","Gaia DR2 3288784006192725248","3288784006192725248","-9999","EPIC",71.82757718025999,6.453230510480000,1.76670,10.6892,730.000,0.00000,24.6352,40.5923,3.04222,1.76670,7.64698,0.00000,0.00000,14.4400,0.00000,"Douglas et al. (2019)",3994.41,0.617505,1
"Hyades","Gaia DR2 3314185129975960448","3314185129975960448","210651981","EPIC",67.12037412146000,17.69579772513000,2.23460,11.3491,730.000,0.00000,21.3301,46.8821,3.35504,2.23460,7.99406,0.00000,0.00000,2.44860,0.00000,"Douglas et al. (2019)",3638.03,0.510389,0
"Hyades","Gaia DR2 3393842788902711296","3393842788902711296","246806983","EPIC",77.79074289798000,15.81585056641000,1.99740,11.2516,730.000,0.00000,17.5437,57.0005,3.77939,1.99740,7.47221,0.00000,0.00000,2.61030,0.00000,"Douglas et al. (2019)",3804.97,0.576765,0
"Hyades","Gaia DR2 3405909374965722368","3405909374965722368","246862801","EPIC",72.12805479536000,16.38840366233000,1.98410,11.6488,730.000,0.00000,20.7535,48.1846,3.41454,1.98410,8.23426,0.00000,0.00000,15.9872,0.00000,"Douglas et al. (2019)",3814.89,0.579678,1
"Hyades","Gaia DR2 147586243206612224","147586243206612224","-9999","EPIC",68.34945268041000,23.99070955324000,2.36730,12.2719,730.000,0.00000,NaN,NaN,NaN,2.36730,NaN,0.00000,0.00000,17.5500,0.00000,"Douglas et al. (2019)",3548.42,0.447133,0
"Hyades","Gaia DR2 3313653894061044224","3313653894061044224","-9999","EPIC",65.99689378565000,16.72146907829000,2.05030,11.7280,730.000,0.00000,21.7102,46.0613,3.31668,2.05030,8.41132,0.00000,0.00000,17.1400,0.00000,"Douglas et al. (2019)",3766.34,0.565391,1
"Hyades","Gaia DR2 47917816253918720","47917816253918720","210741091","EPIC",66.31112244114000,18.97345994950000,2.05180,11.9492,730.000,0.00000,18.8865,52.9479,3.61924,2.05180,8.32996,0.00000,0.00000,11.7853,0.00000,"Douglas et al. (2019)",3765.26,0.565074,0
